"title","year","actors","directors","country","language","description"
"The Secret Garden",1949,"Margaret O'Brien Herbert Marshall Dean Stockwell","Fred M. Wilcox","United States","English","When tempestuous Mary Lennox (Margaret O'Brien), born in India to wealthy parents, is orphaned by a cholera epidemic, she is sent to live with her reclusive and embittered Uncle Archibald Craven (Herbert Marshall) and her ill-behaved, bedridden cousin Colin (Dean Stockwell) at their desolate and decaying estate known as Misselthwaite Manor. Dickon (Brian Roper), the brother of one of the house maids, tells her of a garden secreted behind a hidden door in a vine-covered wall. When a raven unearths the key, the two enter and discover the garden is overgrown from neglect since Craven's wife died there in an accident. They decide to keep their discovery a secret, and begin to restore it to its original grandeur. Under the influence of the Secret Garden, Mary becomes less self-absorbed, Colin's health steadily improves, and Archibald's curmudgeonly personality fades away."
"So Dear to My Heart",1949,"Bobby Driscoll Luana Patten Beulah Bondi Burl Ives","Harold D. Schuster Hamilton Luske","United States","English","Set in Indiana in 1903, the film tells the tale of Jeremiah Kincaid (Bobby Driscoll) and his determination to raise a black-wool lamb that was once rejected by its mother. Jeremiah names the lamb Danny for the famed race horse Dan Patch (who is also portrayed in the film). Jeremiah's dream of showing Danny at the Pike County Fair must overcome the obstinate objections of his loving yet tough grandmother Granny (Beulah Bondi). Jeremiah's confidant Uncle Hiram (Burl Ives) is the boy's steady ally. Inspired by the animated figures and stories, the boy perseveres.[4]"
"The Sun Comes Up",1949,"Jeanette Mac Donald Lloyd Nolan Claude Jarman Jr.Pal (credited as ""Lassie"")","Richard Thorpe","United States","English","Ex-opera singer Helen Lorfield Winter (Jeanette Mac Donald) rents a house in the small town of Brushy Gap, in the hills not too far from the Smokies, Blue Ridge, and Atlanta Georgia with her dog, Lassie, after the tragic death of her son. There she befriends Jerry, a young orphan (Claude Jarman Jr.). Growing attached to Jerry, but not wanting children so soon after the death of her own son, Helen leaves Brushy Gap to resume her singing career. While she is away, Jerry is caught in heavy rain returning Lassie home and develops pneumonia. Helen returns to Brushy Gap to find the owner of the house, Thomas Chandler (Lloyd Nolan), nursing Jerry back to health. Soon after Jerry has recovered, the orphanage catches on fire, and Lassie and Tom both rescue Jerry from the blaze. Helen then decides to adopt Jerry and remain in Brushy Gap."
"Cinderella",1950,"Ilene Woods Eleanor Audley Verna Felton Rhoda Williams James Mac Donald Luis van Rooten Don Barclay Mike Douglas Lucille Bliss","Clyde Geronimi Hamilton Luske Wilfred Jackson","United States","English","Cinderella is living a dissatisfying life, having lost both parents at a young age, and being forced to work as a scullery maid for her cruel stepmother, Lady Tremaine, jealous of Cinderella's beauty, and stepsisters Drizella and Anastasia, in the dilapidated château they live in. Despite this, Cinderella is a kind and gentle young woman, and is friends with mice and birds that live in and around the château. Meanwhile, at the royal palace, the King is frustrated that his son, the Prince, is still unmarried. He and the Grand Duke organize a ball in an effort to find a suitable wife for the Prince, requesting every eligible maiden attend. Upon receiving notice of the ball, Tremaine agrees to let Cinderella go if she finishes her chores and can find a suitable dress to wear."
"The Great Rupert",1950,"Jimmy Durante Terry Moore Tom Drake","Irving Pichel","United States","English","Rosalinda Amendola, the daughter of happy but impoverished former acrobats is in love with the boy next door, aspiring composer Pete Dingle. Though Pete's parents are wealthy, his miserly father Frank insists on hiding his money from his investments in the wall of their family home."
"Heart of Stone",1950,"Lutz Moik","Paul Verhoeven","East Germany","German","Peter, a woodsman and his mother live in the Black Forest where he exists by selling charcoal. Stung by the ridicule of the wealthier inhabitants of the village and desiring to marry the beautiful Lisbeth, he sees his only chance for prosperity by locating a good forest spirit, the small Glasmännlein who grants him two wishes at first, then a third wish later. Peter wishes for wealth that he purchases a glassworks but due to his inexperience the glassworks fails and he gambles his money away."
"Kim",1950,"Errol Flynn Dean Stockwell Paul Lukas","Victor Saville","United States","English","Kim (Dean Stockwell), an orphan boy in 1885 India during the British Raj, works at times for his friend Mahbub Ali (Errol Flynn), a roguish horse trader who is also a secret agent for the British. Mahbub Ali becomes aware of a Russian-backed plot to instigate a rebellion."
"Treasure Island",1950,"Bobby Driscoll Robert Newton Basil Sydney Finlay Currie","Byron Haskin","United States","English","In the West Coast of England in 1765, a young boy called Jim Hawkins lives with his mother in a tiny country inn which they run. Captain William Bones, a sickly lodger, gives Hawkins a treasure map after being visited by two pirates, the second of whom gives the captain a note marked with the black spot. That same night Bones is found dead at the inn, and Jim shows Squire Trelawney the map. Trelawney recognizes the map as belonging to the buccaneer Captain Flint and bankrolls a voyage to discover the pirate's lost treasure. Trelawney hires Captain Smollett and his ship, the Hispaniola, bringing along his friend Dr. Livesey as the ship's doctor and Jim as the cabin boy."
"Alice in Wonderland",1951,"Kathryn Beaumont Ed Wynn Richard Haydn Sterling Holloway Jerry Colonna Verna Felton J. Pat O'Malley Bill Thompson Heather Angel","Clyde Geronimi Wilfred Jackson Hamilton Luske","United States","English","On a riverbank, Alice spots a White Rabbit in a waistcoat passing by, exclaiming that he is ""late for a very important date"". She gives chase, following him into a large rabbit hole. She sees him leave through a tiny door, whose talking knob advises her to shrink to an appropriate height by drinking from a bottle marked ""Drink Me"". She does so and floats out through the keyhole in a sea of her own tears, which she cried after eating a biscuit marked ""Eat Me"" caused her to grow very large. As she continues to follow the Rabbit, she meets numerous characters, including Tweedledum and Tweedledee, who recount the tale of ""The Walrus and the Carpenter""."
"Amazon Symphony",1954,"Almirante Jaime Barcellos Sadi Cabral Estelinha Egg","Anelio Latini Filho","Brazil","Portuguese",NA
"The Painted Hills",1951,"Pal (credited as ""Lassie"")Paul Kelly Bruce Cowling Gary Gray","Harold F. Kress","United States","English","A prospector named Jonathan Harvey (Paul Kelly), whose faithful companion is a rough collie named Shep, looks after the family of his late partner, Martha Blake (Ann Doran) and her son Tommy (Gary Gray). After years of digging in the hills of California (where the movie was shot), he finally strikes gold. However, before he can share it with the Blakes, his greedy partner Lin Taylor (Bruce Cowling) kills Jonathan and attempts to lay claim on the gold. He poisons Shep, who nearly dies, and nearly kills Tommy, but ultimately Shep recovers and leads Lin into the mountains, where he falls off a cliff to his death."
"Superman and the Mole Men",1951,"George Reeves Phyllis Coates Jeff Corey J. Farrell Mac Donald Stanley Andrews","Lee Sholem",NA,"English","Mild-mannered reporter Clark Kent and Lois Lane are sent to the small town of Silsby for the inauguration of the world's deepest oil well. The drill shaft has penetrated the deep underground home of the ""Mole Men"", a race of small, furry, though bald-headed humanoids. The Mole Men come up through the shaft at night, and when the creatures first emerge on the surface, their sudden appearance scares to death the elderly night watchman. Lois Lane and Clark Kent arrive at the oil well and find the dead watchman. Subsequently, help arrives. Clark Kent and the foreman are exploring the surrounding area for signs of intruders when Lois sees one of the creatures and screams. But no one believes her when she tells them what she saw."
"Aladdin and His Lamp",1952,"Johnny Sands Patricia Medina","Lew Landers","USA","English","A poor young man finds a lamp with a genie trapped inside. The genie promises to grant the man three wishes if he frees him from the lamp."
"Hans Christian Andersen",1952,"Danny Kaye Farley Granger Zizi Jeanmaire","Charles Vidor","United States","English","In the 1830s, in the small Danish town of Odense, cobbler Hans Christian Andersen spends his day spinning fairy tales for the village children, teaching them lessons about pride, humility, love and growing up through his fanciful characters. One day, the stern schoolmaster, who believes Hans is wasting his pupils' precious time, implores the Burgomaster and councilmen to curtail the cobbler's habit of distracting the students with his storytelling, but even the adult citizens easily become a rapt audience for Hans' fables. Hans finally agrees to stop distracting the children and returns to his shop, where his teenage assistant, the orphan Peter, begs him to stop causing trouble. However, later that day Hans is drawn back to the schoolhouse to see the children. As he hears the schoolchildren drone mathematical phrases, he compares an inchworm's myopic measuring of beautiful blossoms to the schoolmaster's blindness to beauty and creativity. On yet another day, when the children do not arrive at the sound of the school bell, the schoolmaster deduces that Hans is again distracting his pupils. When the schoolmaster then demands that the Burgomaster and the councilmen choose between him and the cobbler, they decide that Hans must leave Odense. Peter, who has witnessed the verdict, returns to the shop and secretly tries to save his friend from the shame of being exiled by eagerly suggesting Hans travel to Copenhagen. After much prodding, Peter succeeds in convincing Hans to leave that afternoon by reminding him that he will be the envy of the town for having been the first to visit the famous city. Soon after Hans begins his journey, Peter joins him on the trail, bringing all the shop's tools to start their business anew."
